ensembl_gene_id;external_gene_name;chromosome_name;start_position;end_position;strand
ENSMUSG00000002111;Spi1;2;90912735;90946101;1
ENSMUSG00000002129;Sf3a1;11;4110350;4132541;1
ENSMUSG00000002147;Stat6;10;127478855;127496826;1
ENSMUSG00000002204;Napsa;7;44221804;44236286;1
ENSMUSG00000002205;Vrk3;7;44397837;44426939;1
ENSMUSG00000002210;Smg9;7;24099044;24122203;1
ENSMUSG00000002221;Paxip1;5;27945078;27996689;-1
ENSMUSG00000002222;Rmnd5a;6;71365618;71417621;-1
ENSMUSG00000002227;Mov10;3;104702152;104725879;-1
ENSMUSG00000002228;Ppm1j;3;104688372;104693334;1
ENSMUSG00000002233;Rhoc;3;104695691;104701775;1
ENSMUSG00000002249;Tead3;17;28550645;28569791;-1
ENSMUSG00000002250;Ppard;17;28451674;28520448;1
ENSMUSG00000002257;Def6;17;28426752;28447582;1
ENSMUSG00000002265;Peg3;7;6706891;6733430;-1
ENSMUSG00000002266;Zim1;7;6674268;6699449;-1
ENSMUSG00000002274;Metrn;17;26012195;26016110;-1
ENSMUSG00000002279;Lmf1;17;25798059;25881800;1
ENSMUSG00000002280;Ciao3;17;25992750;26002306;1
ENSMUSG00000002289;Angptl4;17;33992724;34000804;-1
ENSMUSG00000002297;Dbf4;5;8446973;8472716;-1
ENSMUSG00000002307;Daxx;17;34128388;34134564;1
ENSMUSG00000002308;Cd320;17;34062065;34068748;1
ENSMUSG00000002319;Ipo4;14;55862857;55873414;-1
ENSMUSG00000002320;Tm9sf1;14;55873422;55881263;-1
ENSMUSG00000002324;Rec8;14;55855494;55862852;1
ENSMUSG00000002325;Irf9;14;55841028;55847487;1
ENSMUSG00000002326;Gmpr2;14;55909398;55916657;1
ENSMUSG00000002329;Mdp1;14;55895336;55897965;-1
ENSMUSG00000002332;Dhrs1;14;55976477;55983147;-1
ENSMUSG00000002341;Ncan;8;70545735;70573523;-1
ENSMUSG00000002342;Tmem161a;8;70625006;70636331;1
ENSMUSG00000002343;Armc6;8;70672822;70687116;-1
ENSMUSG00000002345;Borcs8;8;70592149;70599969;1
ENSMUSG00000002346;Slc25a42;8;70636990;70664955;-1
ENSMUSG00000002365;Snx9;17;5891604;5982229;1
ENSMUSG00000002372;Ranbp3;17;56980294;57018764;1
ENSMUSG00000002379;Ndufa11;17;57024767;57029141;1
ENSMUSG00000002384;Bmp8b;4;122998958;123025892;1
ENSMUSG00000002393;Nr2f6;8;71826767;71834604;-1
ENSMUSG00000002395;Use1;8;71819492;71822376;1
ENSMUSG00000002396;Ocel1;8;71823942;71832005;1
ENSMUSG00000002409;Dyrk1b;7;27878894;27886719;1
ENSMUSG00000002413;Braf;6;39580171;39702397;-1
ENSMUSG00000002416;Ndufb2;6;39569508;39580316;1
ENSMUSG00000002428;Hltf;3;20111975;20172654;1
ENSMUSG00000002455;Prpf6;2;181233661;181297453;1
ENSMUSG00000002458;Rgs19;2;181330212;181335770;-1
ENSMUSG00000002459;Rgs20;1;4979799;5140508;-1
ENSMUSG00000002475;Abhd3;18;10642092;10706771;-1
ENSMUSG00000002477;Snrpd1;18;10617775;10642079;1
ENSMUSG00000002486;Tchp;5;114845821;114860388;1
ENSMUSG00000002489;Tiam1;16;89583999;89940657;-1
ENSMUSG00000002496;Tsc2;17;24814790;24851604;-1
ENSMUSG00000002504;Slc9a3r2;17;24858260;24869301;-1
ENSMUSG00000002524;Puf60;15;75942031;75952773;-1
ENSMUSG00000002546;Golga2;2;32177396;32197933;1
ENSMUSG00000002550;Uck1;2;32145014;32150171;-1
ENSMUSG00000002565;Scin;12;40109768;40184227;-1
ENSMUSG00000002578;Ikzf4;10;128466712;128505227;-1
ENSMUSG00000002580;Mien1;11;98328534;98329817;-1
ENSMUSG00000002602;Axl;7;25456698;25488130;-1
ENSMUSG00000002603;Tgfb1;7;25386427;25404502;1
ENSMUSG00000002608;Ccdc97;7;25410531;25418513;-1
ENSMUSG00000002617;Zfp40;17;23392843;23412226;-1
ENSMUSG00000002625;Akap8l;17;32540398;32569581;-1
ENSMUSG00000002633;Shh;5;28661813;28672254;-1
ENSMUSG00000002635;Pdcd2l;7;33883924;33896086;-1
ENSMUSG00000002658;Gtf2f1;17;57310405;57318288;-1
ENSMUSG00000002660;Clpp;17;57297305;57303188;1
ENSMUSG00000002661;Alkbh7;17;57304339;57306322;1
ENSMUSG00000002668;Dennd1c;17;57372905;57385514;-1
ENSMUSG00000002679;Med6;12;81620331;81641782;-1
ENSMUSG00000002688;Prkd1;12;50388014;50695881;-1
ENSMUSG00000002699;Lcp2;11;33996920;34042295;1
ENSMUSG00000002718;Cse1l;2;166747960;166788309;1
ENSMUSG00000002728;Naa20;2;145744019;145758345;1
ENSMUSG00000002731;Prkra;2;76460242;76478359;-1
ENSMUSG00000002732;Fkbp7;2;76493388;76503460;-1
ENSMUSG00000002733;Plekha3;2;76505625;76527172;1
ENSMUSG00000002741;Ykt6;11;5905693;5917780;1
ENSMUSG00000002748;Baz1b;5;135216118;135274983;1
ENSMUSG00000002763;Pex6;17;47022389;47036467;1
ENSMUSG00000002767;Mrpl2;17;46957155;46961065;1
ENSMUSG00000002768;Mea1;17;46989719;46994037;1
ENSMUSG00000002769;Gnmt;17;47036590;47040094;-1
ENSMUSG00000002778;Kdelr1;7;45522196;45533156;1
ENSMUSG00000002781;Tmem143;7;45546365;45566837;1
ENSMUSG00000002797;Ggct;6;54959565;54969935;-1
ENSMUSG00000002799;Jag2;12;112871439;112893396;-1
ENSMUSG00000002803;Btbd6;12;112940102;112942565;1
ENSMUSG00000002804;Nudt14;12;112897911;112905744;-1
ENSMUSG00000002808;Epdr1;13;19775876;19804097;-1
ENSMUSG00000002812;Flii;11;60604949;60618089;-1
ENSMUSG00000002814;Top3a;11;60630884;60668191;-1
ENSMUSG00000002820;Atg4d;9;21176589;21189068;1
ENSMUSG00000002825;Qtrt1;9;21323133;21331570;1
ENSMUSG00000002831;Plin4;17;56407591;56416803;-1
ENSMUSG00000002833;Hdgfl2;17;56386634;56407607;1
ENSMUSG00000002835;Chaf1a;17;56347439;56379289;1
ENSMUSG00000002844;Adprh;16;38264392;38273065;-1
ENSMUSG00000002845;Tmem39a;16;38379060;38412524;1
ENSMUSG00000002846;Timmdc1;16;38318709;38343025;-1
ENSMUSG00000002847;Pla1a;16;38216479;38253507;-1
ENSMUSG00000002870;Mcm2;6;88860456;88875762;-1
ENSMUSG00000002871;Tpra1;6;88879233;88889220;1
ENSMUSG00000002881;Nab1;1;52496453;52539838;-1
ENSMUSG00000002885;Adgre5;8;84449880;84467955;-1
ENSMUSG00000002897;Il17ra;6;120440208;120464520;1
ENSMUSG00000002900;Lamb1;12;31315233;31379643;1
ENSMUSG00000002908;Kcnn1;8;71294693;71315902;-1
ENSMUSG00000002910;Arrdc2;8;71287773;71292364;-1
ENSMUSG00000002930;Ppp1r17;6;55994482;56009674;1
ENSMUSG00000002944;Cd36;5;17986688;18093799;-1
ENSMUSG00000002948;Map2k7;8;4288740;4297897;1
ENSMUSG00000002949;Timm44;8;4309731;4325913;-1
ENSMUSG00000002957;Ap2a2;7;141142086;141212924;1
ENSMUSG00000002963;Pnkp;7;44506563;44512416;1
ENSMUSG00000002968;Med25;7;44526189;44542136;-1
ENSMUSG00000002980;Bcam;7;19490056;19504941;-1
ENSMUSG00000002981;Clptm1;7;19365496;19398958;-1
ENSMUSG00000002983;Relb;7;19340142;19363363;-1
ENSMUSG00000002984;Tomm40;7;19435238;19449363;-1
ENSMUSG00000002985;Apoe;7;19430034;19433113;-1
ENSMUSG00000002992;Apoc2;7;19405504;19411866;-1
ENSMUSG00000002996;Hbp1;12;31976253;32000534;-1
ENSMUSG00000002997;Prkar2b;12;32008475;32111295;-1
ENSMUSG00000003031;Cdkn1b;6;134897364;134902476;1
ENSMUSG00000003032;Klf4;4;55527143;55532466;-1
ENSMUSG00000003033;Ap1m1;8;72993862;73011229;1
ENSMUSG00000003037;Rab8a;8;72915044;72937748;1
ENSMUSG00000003038;Hmgn2;4;133692049;133695961;-1
ENSMUSG00000003039;Fam32a;8;72973574;72978262;1
ENSMUSG00000003051;Elf3;1;135181313;135186306;-1
ENSMUSG00000003053;Cyp2c29;19;39257849;39319157;1
